I (A),P (W)
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0001
0.6,0.0002
0.7,0.001
0.8,0.0038
0.9,0.0047
1.0,0.0058
1.1,0.007
1.2,0.0076
1.3,0.0082
1.4,0.0095
1.5,0.0116
1.6,0.0143
1.7,0.01961
1.8,0.0237
1.9,0.0285
2.0,0.0294
2.1,0.0375
2.2,0.0392
2.3,0.0437
