PM100D  SN:P0012697  Firmware: 2.4.0 -- Sensor: S302C  SN:151417
Wave 800nm	Range 33mW	Sens 301,92E-3 V/W	Zero 0,00E+0  V
26/9/2025 15:06:19,536 	8,0632E-4	W
26/9/2025 15:06:19,725 	8,0697E-4	W
26/9/2025 15:06:19,920 	8,0731E-4	W
26/9/2025 15:06:20,070 	8,0836E-4	W
26/9/2025 15:06:20,222 	8,0527E-4	W
26/9/2025 15:06:20,375 	8,0681E-4	W
26/9/2025 15:06:20,522 	8,0517E-4	W
26/9/2025 15:06:20,673 	8,0841E-4	W
26/9/2025 15:06:20,822 	8,0864E-4	W
26/9/2025 15:06:20,973 	8,0723E-4	W
26/9/2025 15:06:21,121 	8,0716E-4	W
26/9/2025 15:06:21,272 	8,0796E-4	W
26/9/2025 15:06:21,422 	8,0634E-4	W
26/9/2025 15:06:21,574 	8,0835E-4	W
26/9/2025 15:06:21,721 	8,0639E-4	W
26/9/2025 15:06:21,872 	8,0858E-4	W
26/9/2025 15:06:22,021 	8,0806E-4	W
26/9/2025 15:06:22,175 	8,0738E-4	W
