PM100D  SN:P0012697  Firmware: 2.4.0 -- Sensor: S302C  SN:151417
Wave 800nm	Range Auto	Sens 301,92E-3 V/W	Zero 0,00E+0  V
26/9/2025 15:18:30,483 	1,5692E-1	W
26/9/2025 15:18:30,631 	1,5697E-1	W
26/9/2025 15:18:30,768 	1,5701E-1	W
26/9/2025 15:18:30,929 	1,5703E-1	W
26/9/2025 15:18:31,065 	1,5708E-1	W
26/9/2025 15:18:31,228 	1,5713E-1	W
26/9/2025 15:18:31,365 	1,5717E-1	W
26/9/2025 15:18:31,530 	1,5721E-1	W
26/9/2025 15:18:31,668 	1,5724E-1	W
26/9/2025 15:18:31,825 	1,5728E-1	W
26/9/2025 15:18:31,964 	1,5731E-1	W
26/9/2025 15:18:32,129 	1,5734E-1	W
26/9/2025 15:18:32,268 	1,5737E-1	W
26/9/2025 15:18:32,428 	1,5739E-1	W
26/9/2025 15:18:32,566 	1,5743E-1	W
26/9/2025 15:18:32,729 	1,5746E-1	W
26/9/2025 15:18:32,866 	1,5748E-1	W
26/9/2025 15:18:33,025 	1,5751E-1	W
