PM100D  SN:P0012697  Firmware: 2.4.0 -- Sensor: S302C  SN:151417
Wave 800nm	Range 33mW	Sens 301,92E-3 V/W	Zero 0,00E+0  V
26/9/2025 15:03:48,368 	4,4592E-6	W
26/9/2025 15:03:48,534 	3,5278E-6	W
26/9/2025 15:03:48,732 	4,7229E-6	W
26/9/2025 15:03:48,881 	3,5855E-6	W
26/9/2025 15:03:49,031 	5,9344E-6	W
26/9/2025 15:03:49,182 	4,8548E-6	W
26/9/2025 15:03:49,331 	5,6212E-6	W
26/9/2025 15:03:49,481 	3,8657E-6	W
26/9/2025 15:03:49,630 	4,5910E-6	W
26/9/2025 15:03:49,783 	5,0443E-6	W
26/9/2025 15:03:49,930 	5,5883E-6	W
26/9/2025 15:03:50,080 	2,3575E-6	W
26/9/2025 15:03:50,231 	4,9207E-6	W
26/9/2025 15:03:50,383 	4,6157E-6	W
26/9/2025 15:03:50,530 	4,4179E-6	W
26/9/2025 15:03:50,681 	2,1102E-6	W
26/9/2025 15:03:50,832 	4,7064E-6	W
26/9/2025 15:03:50,983 	2,9591E-6	W
