I (A),P (W)
0.0,0.0
0.1,0.0
0.2,0.0001
0.3,0.0001
0.4,0.0002
0.5,0.0004
0.6,0.001
0.7,0.007
0.8,0.0228
0.9,0.03
1.0,0.0351
1.1,0.0381
1.2,0.049
1.3,0.052
1.4,0.0559
1.5,0.067
1.6,0.081
1.7,0.0971
1.8,0.1144
1.9,0.129
2.0,0.1448
2.1,0.159
2.2,0.184
2.3,0.1993
